,id,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,score,duration_int,duration_type
5170,as5171,s5171,movie,t-rex ranch - giant t-rex dinosaurs - dinosaur videos for kids,arron michael,"lb, arron michael",,,2020,all,31 min,kids,"t-rex ranch brings you another awesome fun-packed collection of jurassic dinosaur videos ! watch your favorite park rangers get into all sorts of wonderful adventures, coming across lots of scary dinosaurs, awesome toys and much more!",42,31,min
5171,as5172,s5172,movie,scare attraction,steven m. smith,"tony fadil, sonera angel, primrose bigwood",,,2019,18+,73 min,horror,reality tv stars attend a halloween scare attraction. suddenly the escape room turns deadly as gas leaks in leaving them unconscious. a voice tells them they must tell a truth or die. who will survive the real scare attraction?,72,73,min
5172,as5173,s5173,movie,saathiya,shaad ali,"rani mukerji, tanuja, satish shah, vivek oberoi, sandhya mridul, swaroop sampat, sharat saxena, tinnu anand",india,,2002,all,138 min,"drama, international, romance","""running away from home can’t keep a couple together. love can. while for most love stories, marriage is the goal, the fact remains -marriage is just the beginning. a story of aditya (vivek) and suhani (rani mukerji) saathiya continues from where most love stories end. from the infatuation stage when a couple thinks they are in love right through to when they discover the true meaning of love.""",2,138,min
5173,as5174,s5174,movie,rendez-vous,pablo olmos arrayales,"antonio alcántara, helena puig, markin lópez, axel zapién, aaron gómez, italo maximiliano concha veloz, héctor vázquez urquieta",,,2021,16+,106 min,"drama, horror, suspense","lili and eduardo meet for the first time after connecting on a dating app. eduardo arrives late but with a good reason in a place like mexico city: he was mugged and they took his phone so he couldn't text her to say he was running late. while at first everything seems to be going fine, when lili finds eduardo's phone in his jacket, things take an unexpected and terrifying turn for the worse.",24,106,min
5174,as5175,s5175,movie,rakhwala,k. muralimohana rao,"anil kapoor, farha naaz, shabana azmi, asrani, beena banerjee, prem chopra, ketki dave, renu joshi, annu kapoor, shakti kapoor, sameer khakhar, suresh oberoi, sharat saxena, rahul singh, tanuja, ajit vachani",,,1989,13+,158 min,drama,"a little girl comes from her village to bombay to find her father. she meets a kind person who could help her, but is helpless as she doesn't know her father's name nor has his photograph.",83,158,min
5175,as5176,s5176,movie,predatory lender,vert wright,"jim meyer, kristina hagan, vikas ahuja, robert parham, gretta sosine, bunny elizabeth stewart, heather renée smith",,,2021,16+,82 min,"drama, suspense","luke, a psychopathic real estate agent is as cold and deceptive in business as he is in the pursuit of his beautiful young prey.",41,82,min
5176,as5177,s5177,movie,permission,brian crano,"rebecca hall, dan stevens, gina gershon, francois arnaud, jason sudeikis, morgan spector, sarah steele",,,2018,18+,98 min,"comedy, drama",a woman on the brink of a marriage proposal is told by a friend that she should date other men before spending the rest of her life with her boyfriend.,96,98,min
5177,as5178,s5178,movie,paper moon,peter bogdanovich,"ryan o'neal, tatum o'neal, madeline kahn, john hillerman, p. j. johnson, randy quaid, noble willingham, ed reed, bob young, liz ross",,,1973,pg,102 min,"comedy, drama","ryan o'neal teams up with his daughter, tatum in this film for which tatum won an oscar in her role. con man moses pray, driving through depression-era kansas with a carload of deluxe bibles and a list of newly widowed prospects for his line.",29,102,min
5178,as5179,s5179,tv show,nursery rhymes and kids songs by little baby bum,,,,2021-05-18,2015,all,10 Seasons,"kids, special interest","this collection includes some of the best educational nursery rhymes and kids songs for your babies. enjoy this season of songs including 'shapes train song', 'wheels on the bus', and many more!",95,10,season
5179,as5180,s5180,movie,miracle in the woods,arthur allan seidelman,"meredith baxter, della reese, patricia heaton",,,1997,13+,92 min,drama,two sisters inherit their mother's land only to discover a surprise tenant on the property. a dramatic story soon unfolds into something truly spectacular.,72,92,min
5180,as5181,s5181,movie,midnight devils,"abel berry, jennifer michelle stone ii","michael berryman, erin marie garrett, guy mayfield, billy blair",,,2020,18+,79 min,horror,"two rough girls, diem and uri, from the inner city steal a suitcase full of money from violent drug dealers and flee to an old house where deim's grandfather lives. just as the drug dealers find the girls, an ancient evil is awakened inside the house by a mad man (billy blair) and chaos ensues. the house full of criminals must all work together in order to survive the night and make it to dawn.",13,79,min
5181,as5182,s5182,movie,mega dinosaur fun t-rex ranch,aaron michael,"lb, aaron michael",,,2018,all,12 min,kids,"t-rex ranch brings you another awesome fun-packed collection of jurassic dinosaur videos ! watch your favorite park rangers get into all sorts of wonderful adventures, coming across lots of scary dinosaurs, awesome toys and much more!",30,12,min
5182,as5183,s5183,movie,leave no trace,debra granik,"ben foster, thomasin harcourt mckenzie, jeff kober, dale dickey","united states, canada",,2018,pg,109 min,drama,"will and his daughter have lived off the grid for years until both are put into traditional housing. after clashing with new surroundings, they embark on a journey home.",12,109,min
5183,as5184,s5184,movie,hansel and gretel,len talan,"david warner, hugh pollard, nicola stapleton",,,1988,all,89 min,"arts, entertainment, and culture, kids, science fiction",based on the fairy tale by the brothers grimm. hansel and gretel are abandoned after the famine strike in the village and where hansel and gretel are later trapped in the deceptively decorated house of the witch griselda who wishes to fatten hansel so that he may be baked into a delicious gingerbread treat.,58,89,min
